term	term_var	term_var_approved	explanation	 
python	питон, пайтон, язык разработки, Python, язык программирования		— это высокоуровневый язык программирования общего назначения с динамической строгой типизацией и автоматическим управлением памятью. Он ориентирован на повышение производительности разработчика, читаемости кода и его качества, а также на обеспечение переносимости написанных на нём программ. Язык является полностью объектно-ориентированным в том плане, что всё является объектами. Необычной особенностью языка является выделение блоков кода пробельными отступами. Python стал одним из самых популярных языков, он используется в анализе данных, машинном обучении, DevOps и веб-разработке, а также в других сферах, включая разработку игр. 	
скрипт	script, Скрипт, языки программирования		— это понятие в программировании, обозначающее последовательность команд для выполнения конкретных операций. По сути, это небольшая программа, заточенная под определенное действие. Скрипты используются в веб-разработке, в частности, чтобы автоматизировать операции. Существуют скриптовые языки программирования, заточенные под их написание, – так называемые «языки сценариев». Сценарии – второе название скриптов. 	
oracle 	Oracle, оракл, Оракэл, Оракл, Оуракл, базы данных, СУБД	продукт Oracle Database часто называют Oracle, по названию компании.	— это система управления реляционными базами данных, разработанная корпорацией Oracle. Эта система используется для создания структуры новой базы, ее наполнения, редактирования содержимого и отображения информации. 	
sqlite	SQLite, эс кью лайт, эс кью лит, с к лайт		— это быстрая и легкая встраиваемая однофайловая СУБД на языке C, которая не имеет сервера и позволяет хранить всю базу локально на одном устройстве. Для работы SQLite не нужны сторонние библиотеки или службы. Понятие «встраиваемый» означает, что СУБД не использует парадигму клиент-сервер.	
rabbitmq	RabbitMQ, рэббит эм кью, рэббит эм ку, реббит эм кью, ребит эм ку		— это программный брокер сообщений на основе стандарта AMQP — тиражируемое связующее программное обеспечение, ориентированное на обработку сообщений. Создан на основе системы Open Telecom Platform, написан на языке Erlang, в качестве движка базы данных для хранения сообщений использует Mnesia. RabbitMQ передаёт сообщения между поставщиками и подписчиками через очереди. Сообщения могут содержать любую информацию, например, о событии, произошедшем на сайте.	
кэш	кеш, cache, cash, Кеш, Кэш		— это промежуточный буфер с быстрым доступом к нему, содержащий информацию, которая может быть запрошена с наибольшей вероятностью. Доступ к данным в кэше осуществляется быстрее, чем выборка исходных данных из более медленной памяти или удалённого источника, однако её объём существенно ограничен по сравнению с хранилищем исходных данных.	
брокер сообщений	broker, Брокер сообщений, броукер, брокер		— это архитектурный паттерн в распределённых системах; приложение, которое преобразует сообщение по одному протоколу от приложения-источника в сообщение протокола приложения-приёмника, тем самым выступая между ними посредником.	
ethereum	Ethereum, Эфириум, эфир	от англ. ether — «эфир»	— это технология для создания приложений и организаций, хранения активов, совершения транзакций и общения без контроля со стороны центрального органа. Для использования Ethereum нет необходимости передавать все свои личные данные — вы сохраняете контроль над ними и регулируете сами, что передается. У Ethereum есть своя криптовалюта, эфир, которая используется для оплаты определенных действий в сети Ethereum.	
система управления базами данных	СУБД, базы данных, DBMS, Database Management System	от англ. Database Management System (DBMS)	— это овокупность языковых и программных средств, которая осуществляет доступ к данным, позволяет их создавать, менять и удалять, обеспечивает безопасность данных и т. д. Иными словами, СУБД — это набор программ, позволяющий организовывать, контролировать и администрировать базы данных. 	
			 	
			 	
			 	
			 	
			 	
			 	
